Commune,Canton
Crans-Montana,VS
Crans-près-Celigny,VD
Crassier,VD
Cremin,VD
Cremines,BE
Cresciano,TI
Cressier (FR),FR
Cressier (NE),NE
Cresuz,FR
Crissier,VD
Croglio,TI
Croglio-Castelrotto,TI
Cronay,VD
Croy,VD
Cuarnens,VD
Cuarny,VD
Cudrefin,VD
Cugnasco,TI
Cugnasco-Gerra,TI
Cugy (FR),FR
Cugy (VD),VD
Cully,VD
Cumbel,GR
Cumbels,GR
Cunter,GR
Cureggia,TI
Cureglia,TI
Curio,TI
Curtilles,VD
Cutterwil,FR
Comunanza Bidogno/Capriasca/Corticiasca,TI
Comunanza Bidogno/Sala Capriasca/Corticiasca,TI
Comunanza Cadenazzo/Monteceneri,TI
Comunanza Capriasca/Lugaggia,TI
Comunanza Capriasca/Lugano,TI
Comunanza Capriasca/Valcolla,TI
Comunanza Corticiasca/Valcolla,TI
Comunanza Medeglia/Cadenazzo,TI
Comunanza Medeglia/Robasacco,TI
Comunanza Sala Capriasca/Vaglio/Lugaggia,TI
Dachsen,ZH
Dagerlen,ZH
Dagmersellen,LU
Daillens,VD
Dallenwil,NW
Dallikon,ZH
Dalpe,TI
Damphreux,BE
Damphreux,JU
Damvant,BE
Damvant,JU
Daniken,SO
Danikon,ZH
Dardagny,GE
Darligen,BE
Darstetten,BE
Dattlikon,ZH
Dattwil,AG
Davesco-Soragno,TI
Davos,GR
Degen,GR
Degersheim,SG
Deisswil bei Munchenbuchsee,BE
Deitingen,SO
Delemont,BE
Delemont,JU
Delley,FR
Delley-Portalban,FR
Demoret,VD
Denens,VD
Denezy,VD
Denges,VD
Densburen,AG
Derendingen,SO
Dettighofen,TG
Develier,BE
Develier,JU
Diegten,BL
Dielsdorf,ZH
Diemerswil,BE
Diemtigen,BE
Diepflingen,BL
Diepoldsau,SG
Dierikon,LU
Diesbach (GL),GL
Diessbach bei Buren,BE
Diesse,BE
Diessenhofen,TG
Dietikon,ZH
Dietlikon,ZH
Dietwil,AG
Dinhard,ZH
Dintikon,AG
Dippishausen-Oftershausen,TG
Disentis/Mustèr,GR
Disentis/Muster,GR
Dittingen,BE
Dittingen,BL
Dizy,VD
Domat/Ems,GR
Dombresson,NE
Domdidier,FR
Domleschg,GR
Dommartin,VD
Dompierre (FR),FR
Dompierre (VD),VD
Donat,GR
Donath,GR
Donatyre,VD
Dongio,TI
Donneloye,VD
Donzhausen,TG
Doppleschwand,LU
Dorenaz,VS
Dorf,ZH
Dorflingen,SH
Dornach,SO
Dotnacht,TG
Dottikon,AG
Dottingen,AG
Dotzigen,BE
Dozwil,TG
Drei Hofe,SO
Dubendorf,ZH
Dudingen,FR
Duggingen,BE
Duggingen,BL
Duillier,VD
Dulliken,SO
Dully,VD
Dunnershaus,TG
Durnten,ZH
Durrenasch,AG
Durrenroth,BE
Dussnang,TG
Duvin,GR
Ebersecken,LU
Ebikon,LU
Ebnat,SG
Ebnat-Kappel,SG
Echallens,VD
Echandens,VD
Echarlens,FR
Echichens,VD
Eclagnens,VD
Eclepens,VD
Ecoteaux,VD
Ecublens (FR),FR
Ecublens (VD),VD
Ecuvillens,FR
Ederswiler,BE
Ederswiler,JU
Effingen,AG
Egerkingen,SO
Egg,ZH
Eggenwil,AG
Eggerberg,VS
Eggersriet,SG
Eggiwil,BE
Eglisau,ZH
Egliswil,AG
Egnach,TG
Egolzwil,LU
Ehrendingen,AG
Eich,LU
Eichberg,SG
Eiken,AG
Einsiedeln,SZ
Eischoll,VS
Eisten,VS
Elfingen,AG
Elgg,ZH
Ellighausen,TG
Ellikon an der Thur,ZH
Elm,GL
Elsau,ZH
Embd,VS
Embrach,ZH
Emmen,LU
Emmetten,NW
Endingen,AG
Engelberg,OW
Enges,NE
Engi,GL
Engishofen,TG
Englisberg,BE
Engollon,NE
Engwang,TG
Engwilen,TG
Ennenda,GL
Ennetaach,TG
Ennetbaden,AG
Ennetburgen,NW
Ennetmoos,NW
Enney,FR
Entlebuch,LU
Envy,VD
Epalinges,VD
Epauvillers,BE
Epauvillers,JU
Ependes (FR),FR
Ependes (VD),VD
Epesses,VD
Epiquerez,BE
Epiquerez,JU
Eppenberg-Woschnau,SO
Epsach,BE
Eptingen,BL
Ergisch,VS
Eriswil,BE
Eriz,BE
Erlach,BE
Erlen,TG
Erlenbach (ZH),ZH
Erlenbach im Simmental,BE
Erlinsbach,AG
